"temp-outlet-0-rfile"
"Iteration" "temp-outlet-0"
("Iteration" "temp-outlet-0")
3 294.3047485351562
6 294.840087890625
9 297.432861328125
12 301.5200805664062
15 303.3135681152344
18 302.6743774414062
21 301.8567504882812
24 301.2479553222656
27 300.796875
30 300.4947204589844
33 300.3128662109375
36 300.2283325195312
39 300.2060852050781
42 300.2079772949219
45 300.220458984375
48 300.2305297851562
51 300.2364196777344
54 300.2392272949219
57 300.2402954101562
60 300.2408752441406
63 300.2406921386719
66 300.2392883300781
69 300.2375793457031
72 300.2359313964844
75 300.2346801757812
78 300.2340698242188
81 300.2340698242188
84 300.2345275878906
87 300.2352294921875
90 300.2358703613281
93 300.2360229492188
96 300.2359008789062
99 300.2352600097656
102 300.2345581054688
105 300.2337951660156
108 300.2331237792969
111 300.2327575683594
114 300.2327270507812
117 300.2331237792969
120 300.2337951660156
123 300.2346496582031
126 300.2355346679688
129 300.2362060546875
132 300.2367248535156
135 300.2370300292969
138 300.2369995117188
141 300.2367553710938
144 300.2363891601562
147 300.2359924316406
